"plate","well","sample_type","group_name","sample_name","filename","concentration","control_idx"
"plate1","A1","control","wt_10^3_24h","mouse1","Run001.csv",1,2
"plate1","B1","unknown","L.p.FlaA_10^3_24h","mouse1","Run002.csv",1,2
"plate1","C1","unknown","wt_10^5_24h","mouse1","Run003.csv",1,1
"plate1","D1","unknown","L.p.FlaA_10^5_24h","mouse1","Run004.csv",1,1
"plate1","E1","unknown","wt_10^7_24h","mouse1","Run005.csv",1,1
"plate1","F1","unknown","L.p.FlaA_10^7_24h","mouse1","Run006.csv",1,1
"plate1","G1","unknown","wt_10^3_48h","mouse1","Run007.csv",1,1
"plate1","H1","unknown","L.p.FlaA_10^3_48h","mouse1","Run008.csv",1,1
"plate1","A2","control","wt_10^3_24h","mouse2","Run009.csv",1,2
"plate1","B2","unknown","L.p.FlaA_10^3_24h","mouse2","Run010.csv",1,2
"plate1","C2","unknown","wt_10^5_24h","mouse2","Run011.csv",1,1
"plate1","D2","unknown","L.p.FlaA_10^5_24h","mouse2","Run012.csv",1,1
"plate1","E2","unknown","wt_10^7_24h","mouse2","Run013.csv",1,1
"plate1","F2","unknown","L.p.FlaA_10^7_24h","mouse2","Run014.csv",1,1
"plate1","G2","unknown","wt_10^3_48h","mouse2","Run015.csv",1,1
"plate1","H2","unknown","L.p.FlaA_10^3_48h","mouse2","Run016.csv",1,1
"plate1","A3","control","wt_10^3_24h","mouse3","Run017.csv",1,2
"plate1","B3","unknown","L.p.FlaA_10^3_24h","mouse3","Run018.csv",1,2
"plate1","C3","unknown","wt_10^5_24h","mouse3","Run019.csv",1,1
"plate1","D3","unknown","L.p.FlaA_10^5_24h","mouse3","Run020.csv",1,1
"plate1","E3","unknown","wt_10^7_24h","mouse3","Run021.csv",1,1
"plate1","F3","unknown","L.p.FlaA_10^7_24h","mouse3","Run022.csv",1,1
"plate1","G3","unknown","wt_10^3_48h","mouse3","Run023.csv",1,1
"plate1","H3","unknown","L.p.FlaA_10^3_48h","mouse3","Run024.csv",1,1
"plate1","A4","control","wt_10^3_24h","mouse4","Run025.csv",1,2
"plate1","B4","unknown","L.p.FlaA_10^3_24h","mouse4","Run026.csv",1,2
"plate1","C4","unknown","wt_10^5_24h","mouse4","Run027.csv",1,1
"plate1","D4","unknown","L.p.FlaA_10^5_24h","mouse4","Run028.csv",1,1
"plate1","E4","unknown","wt_10^7_24h","mouse4","Run029.csv",1,1
"plate1","F4","unknown","L.p.FlaA_10^7_24h","mouse4","Run030.csv",1,1
"plate1","G4","unknown","wt_10^3_48h","mouse4","Run031.csv",1,1
"plate1","H4","unknown","L.p.FlaA_10^3_48h","mouse4","Run032.csv",1,1
"plate1","A5","control","wt_10^3_24h","mouse5","Run033.csv",1,2
"plate1","B5","unknown","L.p.FlaA_10^3_24h","mouse5","Run034.csv",1,2
"plate1","C5","unknown","wt_10^5_24h","mouse5","Run035.csv",1,1
"plate1","D5","unknown","L.p.FlaA_10^5_24h","mouse5","Run036.csv",1,1
"plate1","E5","unknown","wt_10^7_24h","mouse5","Run037.csv",1,1
"plate1","F5","unknown","L.p.FlaA_10^7_24h","mouse5","Run038.csv",1,1
"plate1","G5","unknown","wt_10^3_48h","mouse5","Run039.csv",1,1
"plate1","H5","unknown","L.p.FlaA_10^3_48h","mouse5","Run040.csv",1,1
"plate1","A6","unknown","wt_10^5_48h","mosue1","Run041.csv",1,1
"plate1","B6","unknown","wt_10^5_48h","mouse2","Run042.csv",1,1
"plate1","C6","unknown","wt_10^5_48h","mouse3","Run043.csv",1,1
"plate1","D6","unknown","wt_10^5_48h","mouse4","Run044.csv",1,1
"plate1","E6","unknown","wt_10^5_48h","mouse5","Run045.csv",1,1
"plate1","F6","control","naive","mouse1","Run046.csv",1,1
"plate1","G6","control","naive","mouse2","Run047.csv",1,1
"plate1","H6","control","naive","mouse3","Run048.csv",1,1
"plate1","A7","unknown","L.p.FlaA_10^5_48h","mosue1","Run049.csv",1,1
"plate1","B7","unknown","L.p.FlaA_10^5_48h","mouse2","Run050.csv",1,1
"plate1","C7","unknown","L.p.FlaA_10^5_48h","mouse3","Run051.csv",1,1
"plate1","D7","unknown","L.p.FlaA_10^5_48h","mouse4","Run052.csv",1,1
"plate1","E7","unknown","L.p.FlaA_10^5_48h","mouse5","Run053.csv",1,1
"plate1","F7","unknown","pooled_P1+P2_wt_10^7_24h","repeat1","Run054.csv",1,1
"plate1","G7","unknown","pooled_P1+P2_wt_10^7_24h","repeat4","Run055.csv",1,1
"plate1","H7","unknown","pooled_P1+P2_L.p.FlaA_10^7_24h","repeat3","Run056.csv",1,1
"plate1","A8","unknown","wt_10^7_48h","mosue1","Run057.csv",1,1
"plate1","B8","unknown","wt_10^7_48h","mouse2","Run058.csv",1,1
"plate1","C8","unknown","wt_10^7_48h","mouse3","Run059.csv",1,1
"plate1","D8","unknown","wt_10^7_48h","mouse4","Run060.csv",1,1
"plate1","E8","unknown","wt_10^7_48h","mouse5","Run061.csv",1,1
"plate1","F8","unknown","pooled_P1+P2_wt_10^7_24h","repeat2","Run062.csv",1,1
"plate1","G8","unknown","pooled_P1+P2_L.p.FlaA_10^7_24h","repeat1","Run063.csv",1,1
"plate1","H8","unknown","pooled_P1+P2_L.p.FlaA_10^7_24h","repeat4","Run064.csv",1,1
"plate1","A9","unknown","L.p.FlaA_10^7_48h","mosue1","Run065.csv",1,1
"plate1","B9","unknown","L.p.FlaA_10^7_48h","mouse2","Run066.csv",1,1
"plate1","C9","unknown","L.p.FlaA_10^7_48h","mouse3","Run067.csv",1,1
"plate1","D9","unknown","L.p.FlaA_10^7_48h","mouse4","Run068.csv",1,1
"plate1","E9","unknown","L.p.FlaA_10^7_48h","mouse5","Run069.csv",1,1
"plate1","F9","unknown","pooled_P1+P2_wt_10^7_24h","repeat3","Run070.csv",1,1
"plate1","G9","unknown","pooled_P1+P2_L.p.FlaA_10^7_24h","repeat2","Run071.csv",1,1
"plate1","H9","unknown","pooled_P1+P2_L.p.FlaA_10^7_24h","repeat5","Run072.csv",1,1
"plate1","A10","standard","S7","S7","Run073.csv",5000,1
"plate1","B10","standard","S6","S6","Run074.csv",1250,1
"plate1","C10","standard","S5","S5","Run075.csv",312.5,1
"plate1","D10","standard","S4","S4","Run076.csv",78.13,1
"plate1","E10","standard","S3","S3","Run077.csv",19.53,1
"plate1","F10","standard","S2","S2","Run078.csv",4.88,1
"plate1","G10","standard","S1","S1","Run079.csv",1.22,1
"plate1","H10","background","Bkg1","SB","Run080.csv",0,1
"plate1","A11","standard","S7","S7","Run081.csv",5000,1
"plate1","B11","standard","S6","S6","Run082.csv",1250,1
"plate1","C11","standard","S5","S5","Run083.csv",312.5,1
"plate1","D11","standard","S4","S4","Run084.csv",78.13,1
"plate1","E11","standard","S3","S3","Run085.csv",19.53,1
"plate1","F11","standard","S2","S2","Run086.csv",4.88,1
"plate1","G11","standard","S1","S1","Run087.csv",1.22,1
"plate1","H11","background","Bkg1","SB","Run088.csv",0,1
"plate2","A1","control","wt_10^3_24h","mouse1","Run001.csv",1,2
"plate2","B1","unknown","L.p.FlaA_10^3_24h","mouse1","Run002.csv",1,2
"plate2","C1","unknown","wt_10^5_24h","mouse1","Run003.csv",1,1
"plate2","D1","unknown","L.p.FlaA_10^5_24h","mouse1","Run004.csv",1,1
"plate2","E1","unknown","wt_10^7_24h","mouse1","Run005.csv",1,1
"plate2","F1","unknown","L.p.FlaA_10^7_24h","mouse1","Run006.csv",1,1
"plate2","G1","unknown","wt_10^3_48h","mouse1","Run007.csv",1,1
"plate2","H1","unknown","L.p.FlaA_10^3_48h","mouse1","Run008.csv",1,1
"plate2","A2","control","wt_10^3_24h","mouse2","Run009.csv",1,2
"plate2","B2","unknown","L.p.FlaA_10^3_24h","mouse2","Run010.csv",1,2
"plate2","C2","unknown","wt_10^5_24h","mouse2","Run011.csv",1,1
"plate2","D2","unknown","L.p.FlaA_10^5_24h","mouse2","Run012.csv",1,1
"plate2","E2","unknown","wt_10^7_24h","mouse2","Run013.csv",1,1
"plate2","F2","unknown","L.p.FlaA_10^7_24h","mouse2","Run014.csv",1,1
"plate2","G2","unknown","wt_10^3_48h","mouse2","Run015.csv",1,1
"plate2","H2","unknown","L.p.FlaA_10^3_48h","mouse2","Run016.csv",1,1
"plate2","A3","control","wt_10^3_24h","mouse3","Run017.csv",1,2
"plate2","B3","unknown","L.p.FlaA_10^3_24h","mouse3","Run018.csv",1,2
"plate2","C3","unknown","wt_10^5_24h","mouse3","Run019.csv",1,1
"plate2","D3","unknown","L.p.FlaA_10^5_24h","mouse3","Run020.csv",1,1
"plate2","E3","unknown","wt_10^7_24h","mouse3","Run021.csv",1,1
"plate2","F3","unknown","L.p.FlaA_10^7_24h","mouse3","Run022.csv",1,1
"plate2","G3","unknown","wt_10^3_48h","mouse3","Run023.csv",1,1
"plate2","H3","unknown","L.p.FlaA_10^3_48h","mouse3","Run024.csv",1,1
"plate2","A4","control","wt_10^3_24h","mouse4","Run025.csv",1,2
